序号,1.您是从什么时候开始玩《第五人格》的？,2.您打到过最高的段位是什么？,3.您平时 是和谁一块玩游戏（自己打/朋友）？,4.您平均每周玩几次？每次大约多久？,5.您最喜欢的游戏环节是什么？,6.最近一月，您的游戏频率有无变化？,7.如果从10分满分打分，您给当前的恐怖体验打几分？为什么？,8.恐怖感是否增强了您对游戏世界的代入感或沉浸感？,9.在您玩《第五人格》的过程中，有哪些时刻会让您感到害怕或紧张？请您尽量详细描述。,10.您觉得这些恐怖体验主要来自哪些游戏元素？（例如音乐、角色设计、场景变化等）,11.这些恐怖体验对您的游戏表现有影响吗？请您描述一下影响方式,12.您觉得这些恐怖体验会让游戏变得更有趣，还是会让您不愿意继续玩？,13.您在玩游戏时，会不会主动去寻找一些让自己更害怕或刺激的情境？如果会，是为什么？,14.您觉得在玩游戏时，是否会完全沉浸其中，忽略周围环境？请举例说明。,15.您认为《第五人格》中的“恐怖感”、“刺激感”和“紧张感”有什么区别？（对恐怖的定义）,16.您觉得整体而言，这款游戏的恐怖程度如何？对您是否构成吸引力？,17.多人协作时，哪些队友行为让您觉得紧张或害怕？,18.游戏的难度是否影响了您对恐怖的感受？,19.游戏中道具/技能设定对“压迫感”的营造是否有效？,20.改版后，您觉得游戏的恐怖氛围发生了变化吗？/哪里的变化,21.你觉得哪些恐怖元素对你来说比较重要？,22.未来您希望游戏增加哪些新机制来增强恐怖感？,23.您还有其他对游戏发展的建议吗？
访谈1,大约玩了一年,五阶,和朋友一起玩,之前几乎每天玩，每次大约三个小时,成功逃脱时（打赢了）,变低了，因为有更想玩的游戏,给5分。刚开始觉得挺可怕，后来玩多了就不害怕了,有，一开始就是因为这个恐怖感吸引才开始玩的,嗯，被监管者追击的时候。还有就是队友快被绑上气球淘汰的时候你没救下来。最紧张的时刻是逃生大门就在眼前，但是监管者把你打倒了,那个音乐和场景其实挺恐怖的，听音乐营造的氛围会让人紧张,游戏表现我感觉没啥影响，玩啥都一样。修机时触电惩罚刚开始会让人紧张一下，后面慢慢就习惯了,觉得应该再恐怖一点会更好玩,嗯，不会专门让监管者贴脸追击，可能因为我自己操作比较菜所以回避。,会完全沉浸，比如被监管者追击的时候就会全心贯注玩游戏,现在游戏主要不是恐怖而是刺激，像被人追的刺激感。紧张感也是被追时产生的,恐怖程度一般，改版后不太恐怖了，导致吸引力下降了,队友操作特别菜的时候让人害怕，比如关键失误,难度高的时候就不恐怖了，因为只顾着思考怎么打好，没空感受恐怖氛围,压迫感营造是有效的吧,改版后恐怖感下降，角色外貌设定和整体恐怖氛围都削弱了。,音乐和环境氛围是必要的恐怖元素。,从角色立绘设计入手，比如海报形象画得更恐怖些,希望像腾讯那样加强未成年防沉迷，现在只有基础身份证验证。最好减少未成年低素质玩家。
访谈2,大概在 2017～2018 年游戏刚开服一两个月就开始玩,五阶多,一般和朋友打，有时候单排比较多，后面找车队去社区里找队友，因为游戏里认识挺多人。玩一会儿退游一会儿，跟车队上分时朋友玩稳定性强,高峰时期每天都玩，一天累计约五六小时。现在已经很久没玩了,我比较喜欢玩求生者，但后期体验差。原来喜欢旧机制，前段时间上线的魔方车挺好玩的但不公平，玩家素质差抢麦骂人无法制裁,卖号退游了，因为不想供养游戏。玩时充钱多喜欢买皮肤太贵,恐怖体验打零分，因为它根本不恐怖了，全被和谐掉，没有刚入坑时的惊艳感。,肯定增强，游戏本就是悬疑推理向，早期2017-2018年剧情和诗书设定很吸引人。,被监管者突脸追击时最紧张，还有玩救人位角色时压力大。队伍缺救人位难赢，补位练佣兵等角色要花很多场次练习，遇到守尸屠夫失误容易背锅被骂。,开精美模式后月亮河场景变色吓人，个别监管者设计恐怖，比如强度超模的孽蜥看到就害怕，早期小丑拉锯子时紧张。,太紧张导致博弈失败失误，被监管者秒抓，角色有恐怖突破挺好，全是美型监管就没必要玩这游戏了,"角色有恐怖突破挺好，全是美型监管就没必要玩这游戏了
", 不会专门找，纯打游戏主要体验玩法机制,早期会沉浸，现在体验一般般,紧张感只在博弈成败时出现，比如溜鬼和救人。其他时候不紧张，恐怖感和刺激感现在基本没有。,恐怖程度为零不构成吸引力，现在靠情怀、玩梗和朋友拉新。玩法失衡造神运动恶心，为卖皮肤出超模角色。,演员白板挂机最可怕，一人挂机全队体验归零，或对面屠夫太菜导致必输局。,难度只影响对挂机队友的愤怒，不影响恐怖感,有些监管者技能非常压迫（如红夫人、苏醒之魂），宿伞之魂暗杀。一代版本一代神的角色技能都吓人。设计具有强烈压制感。,回游时发现老界面和情怀内容被删，场景全面提亮，早期湖景村等黑暗地图看不清人的设定没了。场景变亮，监管者特色削弱。老玩家觉得根本不吓人了。,需要独树一帜的恐怖特色，但已被改没。早期宣传中密码机、联机地图的恐怖氛围很重要。,把老建模和场景设计还回来，恢复吃书前的角色设定。早期剧情设定被为卖皮肤乱改，比如阳光角色硬改成疯批人设。, 少做“作死”式更新，别乱改剧情设定，不要迎合极端玩家呼声以改人设。
访谈3, 小学五年级还是四年级开始玩，最近改版后室友玩我也上手过。,小时候玩的，记不清了, 和舍友一起组队玩,每周 2～3 次，每次 30 分钟到 1 小时,与监管者牵制时的博弈过程,变少了，因为这个月事情较多,6.5 分，刚开始觉得恐怖，后期习惯后就不那么害怕了,有些环节设计得好会增强沉浸感，但商城界面等体验不佳会削弱,监管者靠近时，角色心跳声会让人紧张,角色设计（如监管者小丑等）比较恐怖，营造紧张感,一开始可能有影响，习惯后就没什么了。, 增强了趣味性，并不会因为恐怖而不玩,不会，会按常规游戏流程进行,不会完全沉浸，还会注意到周围环境,恐怖像鬼屋，刺激和紧张像过山车；举例中提到“侦探收到信”为恐怖，博弈对抗是紧张与刺激。,玩久了会适应，不再有明显吸引力, 队友救人失败或被“一锅端”时比较紧张, 没有显著联系。,个人感觉效果不太显著,最明显的是角色和皮肤变多，美术与音效有提升，但恐怖氛围变化不大,视觉元素最重要，尤其是角色设计与场景视觉冲击,无回答,优化游戏环境，减少骂人和负面行为，净化社区氛围
访谈4,初一或初二开始玩, 四阶,大多自己玩，因为身边人玩的人不多,不规律，最多一周 5 次，最少不玩，每次约半小时, 排位赛,有，变少了。原因是新角色推出频繁、角色过强、打法复杂，导致疲劳和抵触感,5 分。刚玩时大概是 8 分，但恐怖感会迅速消退,刚开始有效，后来就适应了，恐怖感减弱,被监管者追击（遛鬼）的时候,心跳音效、监管者角色技能设计，部分地图（如白沙街、疯人院）更具压迫感,会因心跳音效紧张，但整体影响不大。,更有趣，尤其是在枯燥修机以外增加追逐紧张感。, 会。为了避免单调，会主动选择被监管追,会，尤其在对抗过程中。,恐怖感弱，更多是竞技带来的刺激和紧张；不觉得“吓人”。,恐怖感不强，略有吸引力，但不构成核心驱动,没有特别紧张或害怕的行为。,会。难度提升后关注点转向如何赢，忽略恐怖体验,以前有效，但现在求生者太强，压迫感降低。技能之间的“神仙打架”削弱了紧张感。,求生技能偏强、交流机制优化、恐怖氛围下降。发消息界面更新后虽然交流更顺畅，但趣味性下降。,必须有心跳音效和监管者的造型设计；场景建筑设计也应更恐怖，目前大多地图偏美型、氛围不足。,监管应更可怕，平衡性调整、强化博弈而非单靠技能强度。,"减少频繁新角色推出，剧情应尽快补全（不要“挖坑不填”）。

"
访谈5,从 2019 年开始，断断续续玩了约两年,七阶,网友、现实朋友都有。,几乎每天玩，每次 2 小时以上，排位时段内为主。,主玩屠夫，喜欢“抓人博弈”和“放飞求生者”的快感。,变少了，因学业压力大、作业多。,6.5 分。刚刚及格，因家长举报后修改了很多恐怖内容，整体更趋华丽，偏离原本风格。,有一定帮助，特别是玩求生者阵营时更明显,玩求生者面对强势监管时；尤其是造型吓人的监管者,场景氛围、音乐、角色造型与技能特性,会影响，特别是越紧张越打不好；但对屠夫玩家影响较小,更有趣，提升了游戏体验,不会，玩求生者时不会主动“突脸”,偶尔沉浸，但多数时候不会完全忽略周围环境,恐怖感来自“涂脸”或突袭伤害等视觉与动作冲击，刺激感和紧张感更偏竞技节奏,原来 7.5 分，现在 6.5 分。手游画面风格限制了恐怖表达, 遛鬼秒倒、不修机、技能失误、无效奔跑等，影响局势,有影响，刚开始玩时紧张感更强；玩久了逐渐脱敏,有，比如角色“我脚养”的瞬移技能、“时空之影”的附身吓人机制等。,角色建模趋于大众审美、不再恐怖；灯光更亮；部分音乐和谐；失去早期压迫氛围。,屠夫的压迫感最关键，建议保持角色的威胁性和造型设计。,增强监管角色的技能与建模，提升其带来的恐怖压迫感。,无特别建议，希望越做越好，对官方表达支持。
访谈6,高考，高三的时候。,五阶,和朋友一起玩。,每个人现在的时候2、3次一次，大约半小时。,环节？抽卡。,没有。,零分，一点都不恐怖，他可能只能吓到年龄小一点的人,一点都不恐怖。,队友死的很快的时候，觉得很绝望，对。,队友太蠢。,有些时候会绝境中逆袭，有些时候直接会摆烂。太恐怖了。,不愿意继续玩。,不会,偶尔。,他是pvp游戏，对我来说，它的剧情其实并没有特别恐怖紧张，它主要是来源于匹配到人物的感觉。,偶尔。算吧。,秒倒。,没有。,没有,没啥变化。,人物，场景，音效。,"恐怖感，增加一些新的vr, 沉浸三d.",出现一个拉黑，就永远不能再组队了。
访谈7,我是从去年开始玩儿的。,一阶,平时我都和朋友一起玩儿。,我平均每周玩儿两次，每次玩儿2个小时。,最喜欢的游戏环节是破译密码机。,最近一个月，我的游戏频率没有变化。,给目前的恐怖体验打九分儿，感觉很有代入感。,恐怖感有增强了我在游戏世界的代入感。,在被监管者追逐的时候，我感到恐怖和紧张。,我觉得恐怖体验主要来自于场景变化，音乐还有追逐的感觉。,这些恐怖体验对我的游戏并没有什么影响。,我觉得这些恐怖体验会让我的游戏变得更加有趣，我会继续玩儿下去的。,我并不会寻找让自己更害怕的和刺激的环境。,我并没有完全沉浸其中。,我觉得恐怖感、刺激感和紧张感的区别就是，嗯，人的感受不一样。,我觉得这款游戏的恐怖程度始终对我还是比较有吸引力的。,多人协作时，队友的很多行为都让我感到恐怖和紧张。,游戏的难度没有影响我对恐怖的感受。,对压迫感的营造我觉得非常有效。,感受到了改版的特征，和以前很不一样。对比以前，我觉得画质更加精美了，玩儿起来也更加赏心悦目。,三种恐怖元素，我觉得音乐和画面有恐怖，其实一定有追逐的内容。,我希望增加一些悬疑的内容来增加自己的恐怖感。,我没有其他建议。
访谈8,去年玩的,五阶,跟朋友一起玩,有时间几乎每天都玩，一天玩四个小时,主玩求生，救人位玩的多，喜欢跟固排打排位，平时打匹配,变少了因为没时间，不是游戏的问题,0分，除了刚开始玩的时候被约瑟夫暗杀,还好吧,被监管追的时候，被约瑟夫暗杀的时候，救人的时候，开门战也挺紧张的,心跳声，追击音乐响起的时候,追击音乐响起，起心跳,更有趣,不会，能平局就行,会，已经沉浸在自己的艺术里了,不恐怖，就是紧张，怕坑到队友被赛后,不恐怖但是很有吸引力,救人的时候全被打死，开局秒倒，开门战不走当门皇，莫名其妙不去救人,没有,有的吧，有的角色技能太逆天了,没玩过以前的版本,音乐跟红光,不知道,没建议
访谈9,高中时候,记不清了,自己或者和朋友,刚开始每天都探索，后来有人一块玩才会上线,跟朋友联机时的配合,很早之前就退游了,3分，很多内容都被和谐掉了,一般，不觉得恐怖,因为自己的操作失误被抓到,来自游戏机制,没什么影响,更注重游戏性，恐怖部分几乎没有,没有,还好,恐怖元素不多，紧张感来自追逐,一般，对恐怖部分无感，游戏性更吸引我,不懂游戏机制导致的失误,没有,有，每个角色都不一样,没玩过改版的,音乐吧,无,增加平衡性
访谈10,从2019年开始玩,最高的段位是屠夫五阶。,平时是和朋友一起玩游戏。,现在退退游了已经两个月没玩了,最喜欢的游戏环节是是模仿者游戏，,最近一个月游戏频率有，最近没打了，最近没有打了。最近两个月都没有打了,当前的恐怖体验打零分，零分，我这是我能给到最高的分数,恐怖感是不是？根本没有恐怖感。,不会让我感到紧害怕和紧张,玩顾问。他们第一句马上就拉你开始谈顾问的时候，非常的紧张，是最紧张的恐怖体验，主要来自于哪些游戏元素？应该是角色设计吧。,没有影响,会让游戏变得更有趣。,而且我会主动去找一些更害怕，更刺激的情景，因为这很刺激,在玩游戏时会沉迷启动忽略。是的，因为需要非常大的专注力,有什么区别？,恐怖感没有恐怖感，我觉得刺激和紧张是在就玩屠夫，抓人或者被抓的时候会有刺激和紧张的，但是没有恐怖感，因为他不吓人。,。整体而言，恐怖程度不行，恐怖程度不行，不具有吸引力，,比如说，比如说队友只要选的小女孩，就会让我很害怕，或者队友选的原皮医生或者蓝皮绿皮医生会让我觉得很紧张。,没有影响我对恐怖的感受,变得不恐怖，对比对比什么？我觉得对比明日方舟第五人格和明日生舟是两个完全不一样的游戏,必须有血腥暴力，还有惊悚。,都要希望你希望我是新机制，那我不知道了，零分就满分，打分我打零分,呵呵呵
