序号,您平时的学习任务是否繁重,在日常学习过程（不限于 B 站），您通常习惯或偏好通过哪些方式或渠道来获取新知识、学习新技能,为什么偏好这种方式, 您对学习新事物通常抱有什么样的态度？,您是什么时候开始使用 B 站的？,最初主要是用它来做什么呢？,现在您每天大概会花多长时间在 B 站上, 主要会看哪些方面的内容呢？,相对于其他内容，学习的内容占比例有多少,您是什么时候开始有意识地使用 B 站进行学习的？,您通常会在 B 站上学习哪些类型的知识或技能？,您一般在什么情况下会选择使用 B 站来学习？,能描述一个您最近使用 B 站学习的具体场景吗？,当您想在 B 站学习某个主题时，您通常是如何找到相关的视频或 UP 主的？,哪些因素对您的选择视频影响最大,在 B 站学习时，您有哪些常用的功能或习惯？,与其他学习途径（如学校课堂、教材、MOOC、专业教育平台、其他视频网站等）相比，您为什么会选择 B 站进行学习？, 对于不同类型的学习内容或学习目标，什么时候会首选 B 站，什么时候会选择其他途径,在您的整体学习过程中，B 站扮演着一个什么样的角色？,B 站的学习内容对您的理解力、知识面或思维方式等有带来什么积极影响吗,在 B 站学习通常会给您带来什么样的感受？,用几个关键词概括B站学习的价值,困扰,对于 B 站作为学习平台，您有什么期望或建议吗？（比如希望增加哪些功能，或者内容方面有什么期待 ）
1,繁重,在专业上，我平常是通过老师上课讲一些内容，然后如果需要软件的话，我就自己线下去查。去网上查，然后如果是业余知识的话，我就会直接在小红书上查，或者在 B 站上。,我偏好线下查软件的这种方式，是因为 B 站它有非常广泛的资源，它是有各种 UP 主都是非常经验教训过来的资源，非常方便查询。然后它的方式也比较符合年轻人的社交圈，我在看视频的时候也会打开弹幕，因为弹幕上有很多个人的小见解，也对我的学习过程进行了一种校正，算是有一种大家一起学习的感觉，有那种归属感。愿意去学。,好奇，想去学,初中不怎么使用，到了高中，到了高三末的时候，,我会用 B 站很频繁地看一些很有名的 UP 主的教学视频。,分情况，如果没有学习的要求的话，我每天大概会花个 20 分钟，30 分钟吃饭时候看看美食视频。但是如果说有学习情况的话，比如说我要学一个 figure 的话，,现在每到饭点必须要打开 B 站看各种各样的美食视频。看鬼畜视频，一个是鬼畜视频，第二个就是有很多 UP 主记录生活，再一个就是他的学习内容也很丰富。,学习内容占比还是蛮大的，我觉得应该在 60%左右。,高三的时候，高三会有意识地用它来检索一些高中语文知识或者是作文内容之类的。,网课和专业相关的科普知识,就是老师，比如说老师上课会让你用到一个软件去做界面设计，但是我从来没接触过这个软件。我就会直接在 B 站找一个新手小白教程，然后一步步跟着那个教程去做。,,第一个是这个教程，第二个就是我会在小红书上去搜 figma 的推荐教程，他们就会给出很多博主。我就会照着那个推荐的博主去搜。,视频播放量吧，哦我会在小红书上看到一些帖子会推荐一些up主的视频然后就跳转过去看,常用的习惯就是打开弹幕，打开精选弹幕就是去掉一半的弹幕，然后它这个弹幕会根据 UP 主教学内容。实际上就比如说 UP 主在有个地方犯了错，但我跟着做不出来，UP 主那个弹幕就会提示说这里错了，然后应该用什么方式比较合适，或是弹幕会给你指出一些更好的方式。对，这是我的学习习惯。再一个就是我会在评论区的链接里下载一些。,我觉得 B 站它更有针对性一些，就是学习老师可能会给你一个方向，或者是基础的理论知识。但是实操方面的话老师可能不会费很多时间，我需要用哪个操作，我就直接去搜这个操作，它是比较符合我个人就是短期需求的。,,我觉得是辅助性的资料库和主要学习平台都有。,信息检索能力的提升,有兴趣学,,,好的，我还有就是，那个 UP 主，他的输出是单向的吗？就是我只看 UP 主的视频，但是如果我有不会的地方，我在想是不是可以设置一个就是在评论区之外的那种问答区？就是我专门想，比如说我在视频的哪个几分几秒暂停，我说这个操作我不懂，然后直接在问答区去问 UP 主，然后他可以个性化给我讲解就比较好了。
2,考研结束了，现在大四不是很繁忙,在日常学习过程中，我通常习惯用 B 站看网课，或者是中国大学 MOOC。如果有一些比较和专业相关性比较强的知识，我也会直接在一些学习者社区里边去搜索。,我选择这种方式是因为可以针对性地查找相关的知识，尤其是遇到不懂的地方，可以直接去查找解决方案。, 如果是和自己兴趣比较相关的话，我还是比较喜欢的。,初三,平时休息的时候可以用它看游戏视频和动漫，然后比如说快临近高考的时候，也会用它去找一些课程去上。,大概 3~4 个小时，因为我喜欢看电影解说,偏向娱乐，但是更多时候也是把它当成一个音乐播放器来用，就是放一些白噪音之类的。,学习相关的占比大概是 50%。,,考研课程，视频调色,需要学习的时候，主要是考研那会在b站上看网课视频,在考研的时候我在 B 站听了王道的计算机考研专业课程，因为这个课程在 B 站上是有免费课程的，并且质量很高。我基本整个考研期间都在从头到尾都在听这门课。,正好他就是在排行比较前面，然后听了之后发现他的专业内容确实比较不错。,网上的口碑，视频本身的内容,我通常会打开弹幕，尤其是在学习过程中，弹幕提供了很多有用的反馈和小贴士。而且会拿个笔记本记笔记,因为 B 站涉及的内容很全面，并且它不仅仅是学习平台，也能提供娱乐和兴趣相关的内容。,长的系统的视频会看b站，那种比较精确的问题会先去问ai软件,辅助性的学习平台,能够静下心来看完整个视频，提高了我的耐性,，因为 B 站它主要面向的是年轻人，然后其实像这些课程相关的，主讲人也大部分都是年轻人。所以说我觉得这些课程的发布者更懂我们这个平台的使用用户，讲解风格也会更幽默、更诙谐，学习起来会更轻松。,有趣，系统性,,目前没有
3,每天要学20个小时，那得，那也没有20个小时，那每天看电脑看十几个小时。,b站、小红书，问老师一般没啥用,就是最高效的学习方法，比如我在想我这个在设计的过程中，这个项目我要做什么的时候。一些东西我是不会的，我会去b站就是搜，然后就是一边跟着学。跟两三遍课以后基本上能做到举一反三。,特别好奇？特别想学。,初中,看那种生活类视频，还有看游戏。,大约计算一下，就是这个分情况，如果有的时候只是说看一些视频，然后放松一下，可能是半个小时左右。如果是一些学习类的话，可能会出现一天。嗯，两三个小时的情况，基本一致，都是生活类的，然后要么就是看一些。嗯，之前会看烦，但是上大学之后学时间比较紧，就没怎么看过，然后，嗯，要么就是学习。就是那种看那种学习教程。,学习和娱乐，女团跳舞视频,60%,高三的时候，因为那个时候刚回来集训，然后想快速的补齐一下这个学校进度，然后就会去看那些很多人总结的一些很好的视频。然后它这个是比较高效的一种方法。后来会发现经常在上大学以后会发现经常在一些，嗯，四六级备考，或者说是一些那种学校里没有教的东西的。这种备考上可能会用b站比较多，它上面就是分享的教程，会比较详细也比较好。,专业上、娱乐上、视频剪辑上都有，挺全面的,有问题了就去查,看一些建模相关的课，我看的目前来说是最多的，然后要么就是AE的课。然后还有一些英语的课看的也是比较多的，英语应该说是占了一半以上,直接在搜索栏解锁检索关键词，然后通过筛选它的这个热度和点击率来看，就是会。然后可能会在，因为经常会看一些同类型的，比如说建模的时候，会有几个就是比较心仪的那种up主。,视频的质量，内容是不是我喜欢的,用便利贴做重要的知识点笔记,可能他个性化太少了，大部分都是那种学校的录课或者怎么样，对于那种比较精准的视频可能会比较少。就比如说我就想学AE的某一个特效，然后我就可以直接搜这个特效在b站里，但是那种它可能是一个成体系的课这样子。然后还有个啥小红书和抖音，它可能更就是生活化，然后它的内容更碎一点，就是它长视频会更少一点。,首先说是，就是一个使用习惯，就是因为b站它基本上什么类型的视频都有，我这个人就是平时生活也比较习惯于就一切从简的。我不喜欢有太多的软件，然后这样的话我就可能会在它上面完成很多。就是很多的功能我就会倾向于选这个，,算是一个主要学习的，就是我还挺依赖它的，因为有的时候可能你在学校里学的东西会比较有限。然后可能上课讲的一些东西也没有特别明白，但是在b站里就无限重复看。然后它这个资源也足够的多，目前来说我所学的专业可能没有那么冷门，所以这个资源对于我来说还是非常够用的。,,,,,有的就比如说，嗯，其实有的时候我特别希望就是就有些看的不太明白的地方，特别希望就是就我提了这个问。然后他能赶紧回答我。但是一般情况下来说，很多人他分享了一些视频，然后他就不会再去管它了。除非是一些比较大的up主，然后之前的话会看到有一些比较成熟的up主，他们会留自己的邮箱。然后我之前问一些问题发到邮箱上，他们还会比较及时的回复。
4,非常繁重,如果我想要了解某个领域，可能会先去问一下ChatGPT，然后在小红书或者B站搜索相关内容。,我比较喜欢讲得生动有趣的视频，这样的学习方式让我感觉更高效舒适。,遇到困难时，会有一种在挑战“boss”的感觉。,从高中时候就开始了,主要看学习内容，包括生活技能（比如摄影），偶尔刷到剪辑类视频也会看一看。我以为你们还在弄（问卷）,超级多，一两小时吧,就是学一些软件和专业方面的视频,占据99%,上大学，特别是学了这个数字媒体艺术,软件和做作业时候的困扰就会用,,最近在B站学习的一个印象深刻的例子是看AI方面的内容，比如调教AI的案例，以及如何将AI系统导入Unity并直接部署实现功能的相关视频。,朋友推荐的博主,,会。我会先扫一眼评论区，看看有没有人说这个UP主讲得特别好或特别易懂。如果有评论说某个UP主不如另一个，我就会去看另一个UP主的视频。,首先，很多技能学校可能不会教得特别深入。其次，B站上像AE学习有“两小时速通”这类视频，很方便。而且我注意力没法像在学校那样长时间集中，适合看视频，中间可以自己暂停。,学那种时间比较长的专业性比较好的,主要的学习平台,解决问题的能力和自学能力吧,比较安心,内容丰富,,有时搜不到特别想学的、很有针对性的内容。如果想学比如“把什么东西导入进去”这类内容，百度找不到的话，我会先问ChatGPT。如果它的回答模糊或按流程做不了，就去淘宝或闲鱼找人问。
5,还好不算繁重,抖音豆包和b站,因为我觉得这样比较方便快捷,我很乐意学习新事物,高二的时候,看动漫,一周看一两次左右吧,主要是看动漫然后学习数据库access,20%,大一的时候，学高数，因为老师上课讲的不清楚，在b站上找课重新学,专业知识，数据库高数这些，或者是日常生活的知识，地理知识,看比较长的视频，系统性学习的时候会用,学习access的窗体操作，我是从头开始学完了整个教程,通过主页搜索,视频浏览量和点赞量,打开弹幕，会把中药笔记写在便利贴上,因为b站上的课程资源更加丰富，可以选择的种类比较多，像很多的专业学习平台没有注册也没有下载，用b站会很方便吧,系统性学习,主要的学习平台,能够帮我构建系统性的学习体系,比较充实，看完一个长视频会有收获满满的成就感,适合备考突击，能够反复观看，学科覆盖度高，学校性强,,
6,繁重,遇到不会的问题，经常会问AI（比如ChatGPT），还会看B站的视频。,分情况而定，有些问题问AI可能没有图文并茂的讲解，而B站上大多是长视频，有图文并茂的讲解，所以更倾向于看B站视频。,比较愿意去接触新事物,应该是疫情的时候开始用的,当时要上网课。最初是用它来看喜欢的博主拍的vlog。,休闲时看妍妍酱的视频，一看就是8个小时；学习技能时会根据视频长度来定。,现在比较偏向于看一些视频案例、好的剪辑素材，以及专业上不懂的软件相关视频。,占比很大，百分之八十,上大学后发现课堂上不太教技能类的东西之后,因为进了学校摄影社团，对摄影了解不多，像器械装载、视频稳定器调频等知识，通过看B站上博主（如影视飓风）的视频打下了基础。,有专业类的或者剪辑问题的时候,因为进了学校摄影社团，对摄影了解不多，像器械装载、视频稳定器调频等知识，通过看B站上博主（如影视飓风）的视频打下了基础。,"会根据播放量找，先看播放量最高的；软件方面有特别喜欢的博主，比如Blender方面的，会跟着他的长视频学习，但有时视频太长会跟不下去。
",首先看播放量，然后会拖进度条看一半内容，看自己是否感兴趣，如果感兴趣就会一直往下看。,遇到难点时，很大程度上会看弹幕解答，其次看up主顶置评论区，里面通常有百度网盘链接，有学习资料；还会看评论区有没有和自己同样困惑的问题及解答。,因为B站比较方便，不仅可以学习，还能搜索生活技能、拍摄技能、软件技能等各种内容。不像小红书，在上面学习容易分心，推流的不一定是相关视频，可能会推小说或电视剧，而B站通常是长视频，右侧会推荐类似感兴趣的视频，能一直学习到很多。,专业性问题先问ChatGPT，若它解答了第一步、第二步，第三步用到插件等不会的话，就搜B站，因为B站有图文讲解，能跟着视频步骤操作。,辅助学习资料库,"解决问题能力有所提升，比如制作一个圆，通过散射就能知道怎么做长方体，能够举一反三。
",内容很有趣，不枯燥。比如学习Blender时会建模可爱的东西，评论区氛围和弹幕也很有趣，评论区大多是同龄人，懂梗，看到弹幕或评论会觉得有趣，还能激发互动，相互评论、点赞，有归属感。,有趣、年轻化、资源丰富,有的视频看到一半要充电，觉得贵就换视频；在视频中遇到问题，问博主可能石沉大海或过很久才回复，失去时效性，解决问题方面有困难。,B站是良师益友
7,还行,线上线下都有，比较喜欢在线上平台查询自己需要了解的知识内容,一个是资源丰富，比较方面，有很多有名的up主,愿意去学习,大概初中开始,最初只是单纯看鬼畜视频,每两天至少打开一次,之前主要看摄影内容，上大学后主要看高数或游戏视频。,看时间而定，现在占比较小，期末或有考试时占比会大一些。,上大学之后，要期末考试，学习高数之类的时候,正常学习内容和PR、PS等摄影后期会系统学习，摄影曾系统学过，开始有用，后来更偏向碎片化看些构图内容，现在基本很少看了。,期末考试之前,曾看过一个英国博主的视频，觉得他讲得有道理且实用，就把他的每一条视频都看完了，但他的内容不能说是课程，只是学习内容，不是以课程的形式呈现。,直接在搜索栏搜我想要了解的操作，然后看这个视频的播放量，看当前多少人在线，主要是看播放量吧。,视频播放量、视频内容和我需要的行为的贴合度。up主他产出内容的垂直度，还有up主本身的热度,会看弹幕，通过弹幕能加深对某些东西的理解。,"一是资源比较多，二是自己对B站界面比较熟悉，用得舒服，而对慕课了解少，基本不用。
",如果只是需要稍微了解一下的小知识，可能会在小红书搜；如果是内容稍微多一点的知识，会首选B站。,既是主要学习平台，也是兴趣社区，自学时用B站较多。,让我的能力更强了，我学到了很多有意思的知识，这大大提升了我的摄影能力。,内容比较丰富吧，看的时候觉得氛围比较轻松，美美的就把摄影知识学到手了，而且我会开弹幕，弹幕里和评论区里都有在讨论摄影相关的东西，让我觉得很有归属感，有社区氛围感，而且大家都很懂梗，聊得来,方便、丰富,部分小众内容资源不全面。,觉得B站现在让人挺舒服的，平台已做得很好，希望随着时间推移能逐渐更新更丰富的内容，不过很多东西不是平台能决定的，有些内容很少人关注，关注的人也不一定会去做up主更新。
8,还好,可能网上报课或者去搜资源之类的。,B站不是专门的学习软件，但相比朋友推荐或百度网盘需要自己找资源，在B站搜索就能得到比较全套的课程内容，比较方便。,很好奇，都想去学一下,初中，使用了五六年。,看一些二次元的东西,每天一小时左右,,约10%。,上大学发现学校课程没什么大用之后。,会在上面学习一些专业的内容,学校课程不教但又必须掌握的技能，需要自学时，就去b站,比如学校课程不教但又必须掌握的技能，需要自学时，会在B站获取资源，因为很多人倾向于在B站上传课程，可以挑选各种课程学习。,如果目标明确，直接用搜索引擎搜索；如果目标较宽泛，会先问问AI等，大概了解需要学的具体内容，再去搜索。,视频的质量、视频的播放量,有时会开弹幕，但不会看。认真学习时会做笔记并收藏，只是出于爱好的学习可能不会做笔记。,相对于慕课，B站的学习氛围更轻松。,有简单的操作先问ai或者小红书，如果需要系统学习一个软件的话或者操作就用b站，或者其他的学英语四六级啊、考驾照之类的也会在b站学,辅助的学习资料库,学习能力变强了，能学到很多知识的,氛围轻松，学习压力较小。,便捷、轻松、可选择性广泛,有时无法轻松找到想要学习的课程，因为同一课程可能有不同版本，难以分辨哪个更适合自己、更有价值。,
9,平时学习任务挺重,日常学习中喜欢通过社交媒体、小红书或B站等渠道获得新知识,因为报课成本高，学校课程时间固定，老师也未必能及时解答问题。,感兴趣的内容更好奇一些，或者是需要做作业学习的新内容,从初中就开始使用B站,"内容丰富，既有娱乐也有学习资源，尤其是学习视频比其他平台更多。
",近几个月基本每天都会打开，1 - 5小时,目前主要看与专业相关的学习内容，前几年多看绘画视频，这几年会搜TD教学、Arduino教学等，做作业时想实现某种效果或遇到不懂的问题，就会去B站搜相关标签和词，看别人怎么做。,大概百分之八十吧,集训需要学一些绘画技巧的时候,目前主要看与专业相关的学习内容，前几年多看绘画视频，这几年会搜TD教学、Arduino教学等，,做作业时想实现某种效果或遇到不懂的问题，就会去B站搜相关标签和词，看别人怎么做。,,先去小红书找推荐的up主，让后去b站搜这个up主，跟着学习。,视频本身的质量、还有这个up主的风评和质量,在B站学习时经常开弹幕，偶尔发弹幕，因为懒。,选择B站学习，是因为同一个知识点有很多博主分享，可以选择最适合自己的学习方式，比如有人喜欢图文，有人喜欢视频，而慕课教学方式较固定；B站大众化，很多人手机里都有，能随时随地学习，且包含的东西多，语言年轻化，讲解不正式，让人听着舒服。,教学视频数量远超抖音、小红书等平台，甚至在小红书搜索后仍需到B站找详细教程。,是主要学习工具，,解决问题的能力显著提升，能自主解决作业中的技术难题，甚至帮助他人。,比课堂和慕课更轻松有趣，UP主的生动表达更易让人投入。,"1. 成本低：节省金钱（无需报课）和时间（随时学习）。

2. 知识丰富：视频关联推荐可拓展相关知识。",,"1. 增加独立学习板块，按类别整合内容，方便查找（如设立“TD学习”专区）。

2. 加强弹幕互动功能，利用弹幕补充知识点。

3. 系统整合UP主的教学合集，按主题归类（如将TD相关合集集中展示）。"
10,繁重。,学校课程、看书、向老师请教、线上课程，还会看一些网站教程，比如小红书、B站。看书比较少，偶尔核对时会查。,线上更方便。,愿意去学,初三开始用,最开始吸引我的是娱乐内容。,平时很少，只有建模时会打开，娱乐内容几乎不看。主要是查具体东西怎么做的教程。,只有建模时会打开，娱乐内容几乎不看。主要是查具体东西怎么做的教程。,能占到90%。,高中的时候，当时会刷一些地理题之类的，大学期间主要用它学习专业内容。,只有建模时会打开，娱乐内容几乎不看。主要是查具体东西怎么做的教程。,如果是偏整体、偏系统的内容，比如整体建模思路，就会去B站搜；一些细节小点的问题，可能会在小红书、抖音上搜。,上学期作业要建一个剃须刀模型，我想查从头建到尾的教程，就去B站搜，但没找到一样的，只能来回看别人是怎么做的,直接用搜索引擎搜。会先把鼠标放到视频上，通过小窗预览一下内容，不太关注播放量和点赞数，主要看具体内容。,,不会开弹幕，但会看评论区。如果有问题，会发评论问，有时候底下有人回复，或者up主会回。学习时一般不做笔记。,视频比较长，有头有尾，比较系统，可能还有合集。B站适合有较长学习时间（比如30分钟）的时候使用，适合学习比较系统、从头到尾的内容。如果只有10分钟或15分钟，可能就不会选择用它。,如果是偏整体、偏系统的内容，比如整体建模思路，就会去B站搜；一些细节小点的问题，可能会在小红书、抖音上搜。,辅助的学习资料库,信息检索能力，因为有时候找不到想要的东西，得来回换关键词。比如看一些心理学内容，有的up主讲得很有意思，能让我理解更深刻，通过趣味的方式学到东西。,挺有意思的,沉浸式。因为视频比较长，能让人更心静地从头到尾看完。内容丰富,感觉手机和电脑上搜出来的信息不一样，不知道是不是关键词的问题。视频质量高低不齐，有些冷门内容的视频质量一般，而且很多新东西或细节小点的内容在B站上没有，感觉内容偏传统，更新不及时。,"希望内容能及时更新，增加一些图文内容。
"
