q_num,outline,questions
0,用户身份,序号
1,用户特征,什么时候开始玩我的世界的
2,用户特征,多久玩一次
3,用户特征,你平时都玩哪些游戏
4,用户特征,在什么情况下会选择玩我的世界
5,用户特征,你觉得你对这个游戏的熟悉程度/游戏等级如何
7,游戏体验,最吸引你的玩法是什么/为什么喜欢这种玩法
8,游戏体验,这个游戏最不喜欢/不满意的玩法是什么？为什么
9,游戏体验,你在这个游戏中主要想达成的目标是什么？
10,游戏体验,这个游戏给正面体验体验/情绪都有哪些
11,创造性体验,对你来说，“创造力”是什么?
12,创造性体验,你觉得创造性在这个游戏中重要吗？为什么？
13,创造性体验,你是否有在游戏中建造或创作什么东西？能描述一下最近让你印象深刻的一个创作吗？
14,创造性体验,创作这个作品的灵感来自哪里？
15,创造性体验,你一般是主动去创作一些东西，还是在必要的时候去创作东西？
16,创造性体验,你更享受创作过程的那个部分（构思、搭建、完善、展示，还是其他？）
17,创造性设计,在你看来，游戏中有哪些机制或特点让你更有动力去创作？
18,创造性设计,有没有遇到技术或设计难题？你是如何解决的？
19,创造性设计,你觉得游戏中哪些玩法/机制会干扰你的创造
20,创造性设计,如果你要向一个没玩过的人介绍它的“创造性”，你会怎么说？
21,创造性设计,你觉得《我的世界》帮助你更理解它了吗?为什么?
22,创造性设计,你通常在《我的世界》联机模式中做什么？这种体验和单机游戏有什么不同？
23,创造性设计,在与他人合作创造时，哪些时刻让你感受到联机的快乐？
24,创造性体验,在自由创造的过程中是否有一些时刻会引发你的深思？能描述一下吗？
25,游戏体验,《我的世界》给你带来了哪些情绪？为什么？
