Theme,Code_Name,Merged_Original_Codes,Total_Original_Frequency,Definition,Application_Rules
玩家体验与心理,自主体验,"['自由建造', '实现想法', '从0到1的创造', '掌控感', '完全自由', '高度自由', '极高自由度', '实现任何想法', '自由想象实现', '表达自由', '无边界创作', '自由身份建构', '个体表达']",31,指玩家在创造过程中感受到的，由自我意志主导、不受外部束缚的控制感和自由感。,纳入: 强调行为源于“我”的想法；描述过程的自由、不受限。排除: 仅描述游戏机制的自由度（归入“开放规则”）；强调合作（归入“合作共建”）。
玩家体验与心理,创造快感,"['创造性体验增强', '成就感', '感觉很爽', '很有趣', '兴奋', '完成后有成就感', '过程有趣']",27,指玩家在创造过程或完成创造后，所体验到的愉悦、满足、兴奋和价值感等正面情绪。,纳入: 描述正面的、与创造行为直接相关的情绪和感受。排除: 强调与他人共享的喜悦（归入“情感共鸣”）；带有自我调节的动作。
玩家体验与心理,积极感受,"['喜欢', '沉浸其中', '惊喜', '爽', '好玩', '每日新发现', '真实情感体验', '简化生活', '休闲式创造']",20,指玩家在游戏过程中体验到的比较宽泛的正面情绪、氛围和沉浸感。,纳入: 描述通用的、非特指创造的积极情绪，如“好玩”、“开心”、“悠闲”。排除: 与完成创造直接相关的成就感（归入“创造快感”）。
玩家体验与心理,消极感受,"['挫败感', '不确定性', '不好', '困难', '紧张', '迷茫', '联机的随机性风险', '苦力怕影响心态', '角度限制带来挫败感']",12,指玩家在游戏中遇到的，由挫折、不确定性、困难或恐惧等引发的负面情绪体验。,纳入: 直接描述负面情绪或心理状态。排除: 描述导致负面情绪的具体事件（归入“创造的障碍”或“建造难题”）；描述应对策略。
玩家策略与行为,探索型解难,"['解决问题', '克服困难', '耐心挖掘', '试错', '思考', '探索', '自己摸索', '过程困难但最终解决']",27,指玩家面对问题时，主要依靠自身努力、思考、尝试和坚持来寻找解决方案的策略。,纳入: 强调玩家的内在努力和自主探索过程。排除: 寻求外部现成答案的行为（归入“求助型解难”）。
玩家策略与行为,求助型解难,"['上网查攻略', '查攻略解决', '查找教程学习', 'B站教程学习', '参考博主内容', '寻求帮助', '看教程学习', '查找攻略参考他人', '贴吧教程查找', '求助亲友', '获得同伴帮助', '朋友协作解决', '查视频获取灵感', '社区求助', '博主示例激发灵感']",18,指玩家面对问题时，通过主动寻求外部信息资源（如攻略、教程、他人帮助）来解决问题的策略。,纳入: 明确指向外部信息源（网站、视频、博主、其他玩家）的求助行为。排除: 自主试错和探索（归入“探索型解难”）。
玩家策略与行为,回避型应对,"['遇难即放弃', '问题回避', '独自游戏作为应对', '选择私密联机防风险', '偏好独自游戏']",7,指玩家在面对困难或风险时，选择放弃、逃避或采取预防性隔离的消极/防御性策略。,纳入: 明确表达了放弃、不解决或为避免风险而采取的限制性行为。排除: 积极面对问题（归入其他解难策略）。
玩家策略与行为,模仿与还原,"['先模仿再创造', '现实映射', '一比一世界还原', '现实生态模拟', '现实还原', '仿真呈现', '还原']",8,指玩家在创造时，以现实世界或其他人的作品为蓝本，进行模仿、参考或一比一复刻的行为。,纳入: 强调创造内容有明确的参照物。排除: 完全的原创或无目的的建造（归入“动手创造”）。
玩家策略与行为,动手创造,"['创意建造', '设计', '从0到1的创造', '自由式建造', '动态装置创作', '资源转化建造', '方块构建']",24,指玩家将想法转化为实体，进行从无到有的设计、实验和建造的核心创造行为。,纳入: 描述具体的、从无到有的建造和设计动作。排除: 有明确模仿对象的建造（归入“模仿与还原”）。
游戏系统与特征,开放规则,"['机制 (高自由度)', '没有限制', '可能性', '系统 (底层逻辑简单)', '游戏设计哲学 (自由与限制的平衡)', '沙盒游戏', '无限可玩性', '想象力唯一限制']",26,指游戏在核心机制和规则层面的设计特性，即提供简单、宽松、非线性的规则，从而涌现出丰富的可能性。,纳入: 描述游戏系统本身的、宏观的规则和特性。排除: 玩家对规则的主观感受（归入“自主体验”）。
