code_name,definition,theme,source_question,frequency_in_question,representative_quotes
机制 (高自由度),游戏无规则、无强制目标的开放性是创作的核心动力。,基础规则：开放性与自由度,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,4,"['自由模式吧，，可以随便创造', '游戏很自由，没有条条框框']"
机制 (方块多样性与可塑性),游戏中种类繁多、功能各异的方块，以及它们之间组合能产生意想不到效果（涌现性）的特点，是创作的直接媒介和灵感来源。,创作媒介：方块的多样性与涌现性,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,0,[]
机制 (Mod支持),游戏对模组（Mod）的开放支持极大地扩展了内容和玩法，为玩家提供了近乎无限的创作动力。,无界扩展：Mod与社区的力量,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,4,"['一些物品添加mod...一些玩家自己制作的mod就很有意思', 'MOD！！！！！Mod真的太神了']"
机制 (多人联机),能够与朋友一起玩、合作、竞争或分享的社交功能，是驱动创作的重要机制。,社交情境：为人而作的快乐,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,5,"['联机模式可以和别人一起玩', '还能和朋友一起联机创作']"
机制 (生存模式的挑战与驱动),生存模式下的各种挑战，如资源稀缺、昼夜循环、怪物威胁等，创造了为生存而进行创作的根本需求。,生存压力：需求驱动的创造,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,0,[]
机制 (物品解锁驱动),获取或解锁新物品/材料的过程会直接催生使用这些新物品进行创作的欲望。,生存压力：需求驱动的创造,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,2,"['解锁新物品时最有动力', '喜欢解锁新东西']"
机制 (内容更新/新方块),官方的版本更新，特别是新方块的加入，能像“新颜料”一样刺激玩家的创作欲。,创作媒介：方块的多样性与涌现性,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,2,"['可能出了新的方块，如果颜色漂亮或者特别，我会去拿新方建个什么东西出来', '每次更新看到新方块...都像收到新颜料，手痒想试试']"
机制 (可交互实体),游戏世界中存在的、可与之互动的生物（如动物），让世界充满“活气”，并激发了围绕它们的创作活动。,N/A,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,1,['有一些很可爱的小动物，这个小狗你喂它骨头以后，它还会一直跟着你']
游戏设计哲学 (自由与限制的平衡),玩家感知到游戏在提供高度自由的同时也施加了恰当的限制（如方块资源的有限），这种平衡状态激发了其创作动力。,基础规则：开放性与自由度,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,1,['很高的自由度去建造、探索的同时，也有局限的方块资源，这样的自由与限制的平衡就让我很有动力']
动机来源 (内在驱动),玩家认为创作的动力并非源于游戏机制，而是来自自己内心的审美追求或艺术渴望。,N/A,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,1,['动力不是游戏给的就是自己内心对于这个艺术审美的追求']
动机来源 (外部作品激发),通过观看网络视频等方式接触到他人的新奇玩法或建筑，从而激发了自己模仿或尝试的动力。,N/A,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,1,['在网络上刷到一些新奇的玩法或者建筑时，我就会非常想去尝试和模仿']
动机来源 (社交动机),创作的动力来源于社交层面的需求，如为了向朋友炫耀、获得认同或在竞争中胜出。,社交情境：为人而作的快乐,在你看来，游戏中有哪些机制或特点让你更有动力去创作？,0,[]
红石机制理解困难,玩家在红石系统的设计与操作中遇到理解障碍，无法掌握其原理与用途,常见的技术与设计难题,有没有遇到技术或设计难题？你是如何解决的？,1,['红十系统那个部分我一直没太弄明白']
红石装置效果不佳,玩家搭建的红石装置未达到预期效果，导致体验挫败,常见的技术与设计难题,有没有遇到技术或设计难题？你是如何解决的？,1,['用红石创造那种资源的刷怪的东西就是效果不好']
材料配方不明确,玩家对物品或结构所需材料的合成方式缺乏了解,常见的技术与设计难题,有没有遇到技术或设计难题？你是如何解决的？,1,['不知道是有用哪些材料建造']
地形机制干扰,地形特性（如沙子塌陷、岩石无法破坏）对游戏进程造成阻碍,N/A,有没有遇到技术或设计难题？你是如何解决的？,1,['它是堆叠起来的，你要挖下面，它上面就掉下来了']
问题回避,面对无法解决的问题选择绕过或放弃继续操作,消极应对倾向,有没有遇到技术或设计难题？你是如何解决的？,1,['挖石头挖不动那就不挖了，换一条路']
耐心挖掘,通过坚持操作来克服挖掘过程中的地形干扰问题,N/A,有没有遇到技术或设计难题？你是如何解决的？,1,['要是挖沙子那啥有耐心，有恒心，把沙子都挖光']
上网查攻略,玩家通过互联网搜索相关教程或资料来解决游戏难题,问题解决方式,有没有遇到技术或设计难题？你是如何解决的？,1,['我就是去查百度啊，或者说小红书']
查攻略解决,利用查阅攻略获取帮助（等价于“上网查攻略”）,问题解决方式,有没有遇到技术或设计难题？你是如何解决的？,1,['查攻略']
