Theme,Code_Name,Merged_Original_Codes,Total_Original_Frequency,Definition
"成就体验","核心成就","['正面情绪 (成就感/满足感)', '正面情绪 (成就感/满足感)_1', '情感回报 (成就感)', '目标动机 (成就感)', '目标动机 (自我满足)']","11","一种由个人努力导致成功结果后，所产生的直接的、强烈的满足感、自豪感和自我肯定情绪。"
"成就体验","创造性成就","['目标类型 (建造)', '目标类型 (大型工程)']","13","因成功将抽象想法转化为有形的游戏内作品（如建筑、装置）或完成一项复杂的工程而获得的成就感。"
"成就体验","挑战性追求","['正面体验 (问题解决)', '追求高难度/挑战', '目标类型 (技术实现)', '核心吸引力 (生存与战斗)', '设计不满 (怪物数值失衡)', '玩法不适 (高难度)']","5","指玩家主动寻求、面对并享受克服各种挑战（包括生存、战斗、技术、策略等）的倾向和过程。对不合理或过高的挑战感到不满，也反映了对公平、可实现挑战的追求。"
"成就体验","提升性成就","['核心吸引力 (从零开始的进程感)', '核心吸引力 (角色成长)', '品格塑造 (耐心)']","6","因见证和体验到角色或个人能力（如耐心）从零开始、逐步积累、不断变强的“成长过程”本身而获得的持续性成就感。"
"成就体验","目标性成就","['目标类型 (收集/完成主义)', '目标类型 (探索/完成主义)']","4","因系统性地集齐游戏内某一类别的所有物品、探索完所有区域或达成所有预设目标，从而实现“完美”或“圆满”状态而获得的成就感。"
"自主性体验","自由感","['核心吸引力 (高自由度)', '正面体验 (无压/自由)', '内容不满 (建造材料有限)']","8","玩家感知到的，不受外部强制性任务、时间或规则过度束缚，可以随心所欲地探索和行动的总体感觉。对建造材料有限的不满，反映了对更高程度创作自由的渴望。"
"自主性体验","内外动机一致","['无明确目标 (享受过程)', '目标设定短暂/易变', '目标动机 (自我满足)']","6","玩家的游戏行为与其内在的、即时的兴趣和满足感高度统一的状态。在这种状态下，过程本身就是奖励，外部目标变得次要或不存在。"
"自主性体验","效能感","['正面情绪 (掌控感)', '混合模式玩法', '实现想象/现实所不能', '目标类型 (角色扮演/模拟生活)']","4","玩家感受到的、能通过自身行动对游戏世界或自身体验产生有效影响的内在驱动与满足感。它整合了掌控、表达和实现个人意志。"
"人际归属感体验","社交性追求","['正面体验 (社交娱乐)', '正面情绪 (社交快乐)', '社交体验', '社交语境下的目标', '社区内容消费', '内容不满 (UGC质量参差)', '负面情绪 (孤独感)', '体验不满 (单人模式孤独感)', '体验不满 (联机障碍)', '正面情绪 (怀旧/想念)']","13","指玩家主动地、有目的地寻求与他人（朋友或社区）建立连接、进行互动并分享体验的行为倾向。对孤独和社交障碍的不满，以及对伙伴的怀念，都反向印证了这种追求的强烈。"
"创造性体验","新颖性创造","['实现想象/现实所不能', '目标类型 (大型工程)', '现实投射 (对未来的憧憬)', '目标类型 (建造)']","15","指玩家将源于个人想象、幻想或独特想法的、在现实中不存在或不常见的事物，在游戏中进行具象化。其核心在于作品的“新颖”或“原创”特质。"
"创造性体验","自由创造","['正面体验 (自由创造)', '核心吸引力 (高自由度)', '核心吸引力 (创造)']","14","指在感知到不受限制的、完全自主的环境下进行创造的体验。它强调“自由”作为创造活动得以发生的核心心理前提和背景。"
"创造性体验","创造灵活性","['正面体验 (探索与发现)', '混合模式玩法', '目标类型 (收集/完成主义)']","6","指玩家在创造过程中，展现出对游戏材料、规则和方法的多样化、非常规的灵活运用能力。"
"创造性体验","过程式创造","['核心吸引力 (从零开始的进程感)', '无明确目标 (享受过程)']","6","指玩家的乐趣和满足感更多地来源于创造的过程本身，而非最终完成的作品。这是一种享受旅途甚于终点的创造心态。"
"过程性体验","探索体验/追求","['正面体验 (探索与发现)', '核心吸引力 (探索冒险)', '正面情绪 (惊喜/期待)', '情感回报 (刺激/惊喜)', '过程即目标 (享受开荒)', '机制不满 (旧世界不更新)']","8","指玩家因探索未知世界、发现新奇事物或开启全新征程而获得的乐趣、期待感与惊喜感。对探索受限（如旧世界不更新）的不满，也体现了对持续探索的追求。"
"过程性体验","愉悦体验","['正面体验 (审美愉悦)', '正面情绪 (开心/快乐/喜悦)', '正面情绪 (放松/解压/治愈)', '正面情绪 (宁静/享受独处)']","1","指一种非竞争性的、与成就或挑战无关的普遍积极情绪。它可以是因视听美学而产生的感官愉悦，也可以是内心宁静放松的平和状态。"
"过程性体验","刺激体验","['正面情绪 (刺激/紧张)', '核心吸引力 (生存与战斗)']","6","指玩家在面临即时危险、高风险的生存挑战或战斗情境时，所体验到的心跳加速、肾上腺素飙升的高唤醒度兴奋感。"
"过程性体验","沉浸体验","['正面体验 (沉浸/心流)', '正面体验 (沉浸式角色扮演)', '画风不满 (不够写实)']","5","指玩家在多大程度上感到“身临其境”。它既包含完全投入、忘记时间的心流状态和深度角色扮演，也包含那些影响真实感的因素（如画风）。"
"综合评价","满意","['无不满意之处']","7","玩家对游戏整体体验的高度认可，未报告任何明显的不满之处。"
