code_name,definition,theme,source_question,frequency_in_question,representative_quotes
正面情绪 (成就感/满足感),通过完成建造、收集、击败Boss或解决问题等目标后，所获得的满足和自我肯定的感觉。,成就与满足：努力终有回报,这个游戏给正面体验体验/情绪都有哪些,0,[]
正面情绪 (开心/快乐/喜悦),游戏过程中体验到的普遍的、积极的愉悦情绪。,N/A,这个游戏给正面体验体验/情绪都有哪些,0,[]
正面情绪 (放松/解压/治愈),游戏提供了一个舒缓压力的环境，玩家通过悠闲的活动（如种田、听雨、建造）感到放松和治愈。,放松与沉浸：作为心灵的避风港,这个游戏给正面体验体验/情绪都有哪些,0,[]
正面情绪 (刺激/紧张),在面临危险、挑战或重大发现时，体验到的心跳加速、肾上腺素飙升的兴奋感。,探索与冒险：心跳加速的激情,这个游戏给正面体验体验/情绪都有哪些,5,"['被冷不防的被苦力，怕从后面一炸没死，当时就会有一种肾上腺素的飙升感', '被绿色爆炸怪追着跑，差点死掉，吓得我心跳超快，然后事后觉得挺刺激的']"
正面情绪 (惊喜/期待),对游戏中未知的探索和随机事件的结果感到惊喜，并对未来可能发生的事情抱有期待。,探索与冒险：心跳加速的激情,这个游戏给正面体验体验/情绪都有哪些,0,[]
正面情绪 (宁静/享受独处),在游戏中体验到的平静、安宁的心境，或享受独自一人沉浸在世界中的感觉。,放松与沉浸：作为心灵的避风港,这个游戏给正面体验体验/情绪都有哪些,0,[]
正面体验 (自由创造),能够无拘无束地发挥想象力，将想法变为现实的体验。,创造与表达：无拘无束的自由,这个游戏给正面体验体验/情绪都有哪些,6,"['不断的发挥你的想象，然后把它实现出来', '通过自己的理解生产出来东西的一种能力']"
正面体验 (无压/自由),游戏缺乏强制性任务和时间限制，玩家可以自由决定游戏节奏和内容，从而感到轻松。,创造与表达：无拘无束的自由,这个游戏给正面体验体验/情绪都有哪些,2,"['没有时间的限制，没有目标导向和结果导向...自由度很高', '我没有那种任务...很自由的']"
正面体验 (社交娱乐),与朋友一起合作、竞争或进行有趣的互动（如恶作剧）所带来的快乐。,探索与冒险：心跳加速的激情,这个游戏给正面体验体验/情绪都有哪些,3,"['和朋友一起打，要是下载那些地图一起闯关，或者说分那个队伍和朋友互相殴打', '和小伙伴一起联机玩...感情会越来越好']"
正面体验 (沉浸/心流),完全投入游戏，忘记时间流逝的深度沉浸体验。,放松与沉浸：作为心灵的避风港,这个游戏给正面体验体验/情绪都有哪些,2,"['沉浸式挖矿，峡谷探索。在玩的时候沉浸在里面', '玩着玩着会进入""心流状态""']"
正面体验 (探索与发现),发现新的地点、资源或游戏机制组合时所获得的乐趣。,探索与冒险：心跳加速的激情,这个游戏给正面体验体验/情绪都有哪些,2,"['发现方块之间组合出来的特别的效果运用到建筑当中很漂亮', '不断发现一些方块之间的组合呈现的效果']"
正面体验 (问题解决),通过思考和策略成功解决游戏中遇到的难题所带来的满足感。,成就与满足：努力终有回报,这个游戏给正面体验体验/情绪都有哪些,2,"['每次成功解决一个问题，就会更相信自己', '用新的办法解决生活中琐碎的问题']"
正面体验 (审美愉悦),因游戏中的视觉效果（如光影、模组美化）而感到的愉悦。,放松与沉浸：作为心灵的避风港,这个游戏给正面体验体验/情绪都有哪些,1,['把他那个风格给弄得很漂亮...光影很好看']
正面体验 (沉浸式角色扮演),将自己代入游戏世界，体验一种与现实不同的、悠闲的田园式生活。,放松与沉浸：作为心灵的避风港,这个游戏给正面体验体验/情绪都有哪些,1,['单纯纯种田。每天日出而作，日落而息的那种']
正面情绪 (成就感/满足感)_1,通过完成目标、创造作品或克服困难后获得的满足、自豪和自我肯定的情绪。,成就与创造的积极情感,《我的世界》给你带来了哪些情绪？为什么？,0,[]
正面情绪 (开心/快乐/喜悦)_1,在游戏过程中体验到的普遍、纯粹的积极情绪。,成就与创造的积极情感,《我的世界》给你带来了哪些情绪？为什么？,0,[]
正面情绪 (放松/治愈/平静),游戏提供了一个舒缓压力的环境，让玩家感到心情平静、放松或被治愈。,宁静与怀旧的治愈体验,《我的世界》给你带来了哪些情绪？为什么？,0,[]
正面情绪 (怀旧/想念),游戏触发了对过去美好时光或与同伴共同游戏经历的怀念之情。,宁静与怀旧的治愈体验,《我的世界》给你带来了哪些情绪？为什么？,1,['难忘，想念以前一起玩的小伙伴了']
正面情绪 (社交快乐),因与朋友一同游戏、互动而产生的快乐，强调社交是快乐的核心。,宁静与怀旧的治愈体验,《我的世界》给你带来了哪些情绪？为什么？,1,['和朋友一起玩，主要不是玩啥，是跟谁玩，跟朋友玩儿就快乐']
正面情绪 (掌控感),在游戏中体验到的一种能够主宰自己世界和生活的感觉。,成就与创造的积极情感,《我的世界》给你带来了哪些情绪？为什么？,1,['主宰自己生活的感觉']
负面情绪 (挫败/烦躁/愤怒),因遇到困难、操作失误、创意枯竭或游戏机制不顺而产生的沮丧、不耐烦和生气的情绪。,探索与生存的负面情绪,《我的世界》给你带来了哪些情绪？为什么？,0,[]
负面情绪 (恐惧/惊吓),在探索未知环境（如矿洞）或遭遇怪物时产生的害怕、紧张和被惊吓的感觉。,探索与生存的负面情绪,《我的世界》给你带来了哪些情绪？为什么？,0,[]
负面情绪 (孤独感),在单人游戏时，因世界广阔而产生的孤单、寂寞的感觉。,探索与生存的负面情绪,《我的世界》给你带来了哪些情绪？为什么？,1,['感觉整个世界只剩下我一个人的孤独']
负面情绪 (焦虑/无助),在面临危险或困境时，产生的紧张不安和无能为力的感觉。,探索与生存的负面情绪,《我的世界》给你带来了哪些情绪？为什么？,0,[]
情绪混合 (复杂情感),玩家同时体验到多种交织在一起的情绪，如“害怕又刺激”、“痛并快乐着”、“又气又高兴”。,情绪的动态交织与转化,《我的世界》给你带来了哪些情绪？为什么？,0,[]
情绪转换 (化负为正),玩家经历从负面情绪（如挫败、迷路）到正面情绪（如宽慰、释然）的转变过程。,情绪的动态交织与转化,《我的世界》给你带来了哪些情绪？为什么？,0,[]
品格塑造 (耐心),玩家认为游戏过程（如挖矿）能够培养自己的耐心品质。,N/A,《我的世界》给你带来了哪些情绪？为什么？,1,['耐心，挖矿的时候你需要很耐心']
核心吸引力 (高自由度),玩家认为游戏最吸引人的地方是其高度的自由，可以无拘无束、随心所欲地进行游戏。,自由创造与成就感,最吸引你的玩法是什么/为什么喜欢这种玩法,5,"['自由度很高，已经属于想干什么都可以的程度了', '自由了，你自己想干啥随心所欲']"
核心吸引力 (创造),玩家的核心乐趣来源于创造事物的过程，包括建造、设计等创造性活动。,自由创造与成就感,最吸引你的玩法是什么/为什么喜欢这种玩法,3,"['创造一个自己的世界', '喜欢自己创造东西']"
核心吸引力 (从零开始的进程感),玩家享受从一无所有到逐渐积累、发展的过程，这种“白手起家”的成长体验是主要吸引力。,进程、成长与挑战,最吸引你的玩法是什么/为什么喜欢这种玩法,4,"['白手起家的真实感。从第一天晚上躲僵尸挖地洞，到后来建起带自动熔炉组的别墅，每个阶段都有不同的快乐', '从砍第一棵树开始，慢慢搭出一个房子，然后再扩建，加二楼、阳台、地下室']"
情感回报 (成就感),通过完成创造或达成生存目标后，玩家获得强烈的满足感和成就感。,自由创造与成就感,最吸引你的玩法是什么/为什么喜欢这种玩法,5,"['通过自己的努力让角色生存下去，这种成就感让我非常满足', '看着自己的 “家” 一点点变大，很有成就感']"
情感回报 (刺激/惊喜),游戏中的突发事件或探索发现带来的刺激感、心跳加速和惊喜感是吸引力的来源。,进程、成长与挑战,最吸引你的玩法是什么/为什么喜欢这种玩法,1,['深夜挖矿时突然发现钻石矿那种心跳加速的感觉，或者意外触发林地府邸机关被卫道士追着跑的刺激']
社交体验,与朋友一起联机游戏是核心乐趣，包括合作、共创、打怪等社交互动。,社交连接与共享体验,最吸引你的玩法是什么/为什么喜欢这种玩法,0,[]
追求高难度/挑战,玩家主动寻求更高的游戏难度或给自己设定更严格的规则，享受克服挑战的过程。,进程、成长与挑战,最吸引你的玩法是什么/为什么喜欢这种玩法,0,[]
实现想象/现实所不能,游戏提供了一个平台，让玩家能够将在现实世界中无法实现的想法或事物变为可能。,自由创造与成就感,最吸引你的玩法是什么/为什么喜欢这种玩法,0,[]
模拟现实/生活,游戏因其对现实世界（如生态、生存）的模拟而具有吸引力，让玩家体验另一种人生。,模拟、沉浸与现实投射,最吸引你的玩法是什么/为什么喜欢这种玩法,0,[]
可扩展性 (Mod/开源),游戏因其庞大的模组（Mod）生态和开源特性而具有吸引力，提供了近乎无限的玩法扩展。,无限的游戏边界,最吸引你的玩法是什么/为什么喜欢这种玩法,1,['加 model 加模组加的很多...官方，它给出了一个开源的代码']
感官体验 (规整/解压),游戏独特的方块美学、规整的排列和特定的音效给玩家带来解压和放松的感受。,模拟、沉浸与现实投射,最吸引你的玩法是什么/为什么喜欢这种玩法,1,['它是方块形的，然后它很规整...解压']
核心吸引力 (经营养成),玩家的乐趣来源于像经营养成游戏那样，通过持续的投入和管理使自己的世界（如农场）不断发展。,进程、成长与挑战,最吸引你的玩法是什么/为什么喜欢这种玩法,2,"['自己一点点一点点去经营出来一个东西的感觉很有意思', '我喜欢经营养成，尤其是种地游戏']"
核心吸引力 (探索冒险),探索未知世界、发现宝藏的过程如同冒险，是游戏的主要吸引力之一。,进程、成长与挑战,最吸引你的玩法是什么/为什么喜欢这种玩法,1,['在地下找矿石的过程就像冒险']
核心吸引力 (角色成长),通过获取资源来升级工具和装备，体验角色能力不断变强的过程很有趣。,进程、成长与挑战,最吸引你的玩法是什么/为什么喜欢这种玩法,1,['工具和装备变得越来越好，自己也越来越厉害']
核心吸引力 (生存与战斗),玩家的乐趣主要来源于生存挑战和与怪物战斗的过程，而非建造。,进程、成长与挑战,最吸引你的玩法是什么/为什么喜欢这种玩法,1,['比较喜欢嗯自己挖个洞把自己埋起来晚上...挖挖矿的时候挖到铁器了...去找那些怪杀']
社区内容消费,玩家的乐趣部分来源于探索和使用由其他玩家创造的社区内容（如地图、资源包）。,模拟、沉浸与现实投射,最吸引你的玩法是什么/为什么喜欢这种玩法,1,['去下好看房子的资源包，探索别人建的大房子']
现实投射 (对未来的憧憬),玩家将游戏中的建造行为视为对未来理想生活（如拥有自己的房子）的一种投射和憧憬。,模拟、沉浸与现实投射,最吸引你的玩法是什么/为什么喜欢这种玩法,2,"['感觉就是在建自己的房子。就是对未来一个成憧憬', '感觉就是在建自己的房子。就是对未来一个成憧憬']"
混合模式玩法,玩家会结合不同游戏模式的优点进行游戏，如在创造模式建好房子再转为生存模式游玩。,N/A,最吸引你的玩法是什么/为什么喜欢这种玩法,1,['先把房子在创造模式建好了以后改成生存']
偏好生存模式,玩家明确表示更偏爱或主要玩生存模式。,N/A,最吸引你的玩法是什么/为什么喜欢这种玩法,9,"['生存模式就是比较真实，吃东西造房子，然后采矿造东西', '在生存模式里能自己获取资源啥的']"
