code_name,definition,theme,source_question,frequency_in_question,representative_quotes
小学阶段,玩家在小学时期首次接触或开始玩游戏。,初玩时间点,什么时候开始玩我的世界的,18,"['小学23年级二年级', '小学23年级']"
初中阶段,玩家在初中时期首次接触或开始玩游戏。,初玩时间点,什么时候开始玩我的世界的,6,"['初一', '初中']"
高中阶段,玩家在高中时期首次接触或开始玩游戏。,初玩时间点,什么时候开始玩我的世界的,1,['高一上学期']
具体年份,玩家能回忆起开始玩游戏的具体公历年份。,初玩时间点,什么时候开始玩我的世界的,5,"['2014年左右', '2022 年']"
社交引入,玩家因朋友、同学、亲属或室友的推荐或影响而开始玩游戏。,入坑途径与动机,什么时候开始玩我的世界的,4,"['我表弟介绍给我玩的', '身边好多同学都在玩']"
新手经历,对初次玩游戏时具体行为的描述，通常体现了对游戏机制的生疏。,早期游戏体验与记忆,什么时候开始玩我的世界的,2,"['第一次玩的时候连木头都不会砍，对着树干空手撸了半天', '刚开始啥也不会，就是砍树、搭小木屋']"
早期沉迷,描述在游戏初期就投入大量热情和时间，表现出上瘾的状态。,早期游戏体验与记忆,什么时候开始玩我的世界的,2,"['迷上了《我的世界》联机版，一玩就停不下来', '慢慢上瘾了']"
共同游玩,提及与他人（如亲属）一起进行游戏的经历。,早期游戏体验与记忆,什么时候开始玩我的世界的,1,['我们在一起玩']
非官方渠道,通过非官方或盗版途径初次接触游戏。,入坑途径与动机,什么时候开始玩我的世界的,1,['盗版']
游戏动机,驱使玩家开始或持续游戏的内在原因，如好奇、有趣或放松。,入坑途径与动机,什么时候开始玩我的世界的,2,"['看着有趣就跟着入坑了', '放松大脑']"
通过社区学习,通过在线社区（如贴吧）获取游戏知识和技巧。,早期游戏体验与记忆,什么时候开始玩我的世界的,1,['看贴吧教程才知道要长按鼠标']
标志性游戏事件,对游戏中具有里程碑意义或印象深刻的特定事件的记忆，如挖到第一个钻石。,早期游戏体验与记忆,什么时候开始玩我的世界的,1,['发现第一个钻石矿的激动']
挫折与成就感交织,描述一种复杂的早期体验，其中成就（如挖到矿）与挫折（如被怪物摧毁）并存，形成哭笑不得的深刻记忆。,早期游戏体验与记忆,什么时候开始玩我的世界的,1,['结果被苦力怕炸没了，现在想想还是哎。又气又好笑']
联机体验,特指早期被游戏的多人联机模式所吸引。,入坑途径与动机,什么时候开始玩我的世界的,1,['联机版']
早期游玩平台,提及开始玩游戏时所使用的具体平台，如4399。,入坑途径与动机,什么时候开始玩我的世界的,1,['4399']
早期能力限制,回忆并描述在游戏初期因个人能力（如识字量）受限而带来的挑战。,早期游戏体验与记忆,什么时候开始玩我的世界的,1,['字都认不全']
具体游戏版本,能回忆起开始玩游戏时的特定版本号。,早期游戏体验与记忆,什么时候开始玩我的世界的,1,['Beta 1.7.3版本']
游戏中断,提及在开始游戏后曾有过一段时间没有再玩。,早期游戏体验与记忆,什么时候开始玩我的世界的,1,['有好几年没玩了']
过去高频 (每日),玩家描述在过去某个时期，游戏频率为每天或接近每天。,游戏频率的演变,多久玩一次,10,"['小学的时候、初中的时候，就是每天都会玩一玩', '以前的话，几乎回家每天都玩一会儿']"
过去高频 (经常),玩家使用“经常”等模糊词汇描述过去较高的游戏频率。,游戏频率的演变,多久玩一次,2,"['小时候经常玩', '小时候经常玩']"
过去中频 (周末),玩家描述在过去某个时期，主要在周末进行游戏。,游戏频率的演变,多久玩一次,2,"['那个时候周末拿到手机就会玩', '初中的话就是周六日']"
过去中频 (每周数次),玩家描述在过去某个时期，每周会进行数次游戏。,游戏频率的演变,多久玩一次,1,['差不多频率就是一周两三次吧']
当前不玩,玩家明确表示目前已不玩这款游戏。,游戏频率的演变,多久玩一次,4,"['现在的话很久没有玩过了', '现在一天都不玩']"
当前低频 (很少),玩家使用“很少”等模糊词汇描述当前较低的游戏频率。,游戏频率的演变,多久玩一次,3,"['现在真的很少玩了', '现在很少玩了']"
当前低频 (每月),玩家当前的游戏频率大约为一个月一次。,游戏频率的演变,多久玩一次,3,"['现在的话，可能一个月都玩不了一次', '一个月一次']"
当前低频 (每数月),玩家当前的游戏频率为数月一次。,游戏频率的演变,多久玩一次,1,['大概两三个月玩一次']
当前低频 (每半年),玩家当前的游戏频率大约为半年一次。,游戏频率的演变,多久玩一次,1,['隔很久，一般半年吧']
当前中频 (每周),玩家当前的游戏频率大约为一周一次。,游戏频率的演变,多久玩一次,3,"['一个礼拜玩一次', '基本一周一次']"
当前中频 (每周数次),玩家当前的游戏频率为一周数次。,游戏频率的演变,多久玩一次,2,"['每周大概玩3-4次', '每周玩 2-3 次']"
当前中频 (每数日),玩家当前的游戏频率为几天一次。,游戏频率的演变,多久玩一次,1,['几天玩一次']
游戏中断_1,玩家提及曾有较长一段时间停止玩游戏。,游戏频率的演变,多久玩一次,3,"['中途停玩了很长时间', '好几年没玩儿了']"
频率动态下降,玩家描述其游戏频率随着时间推移（如升学）而呈现下降趋势。,游戏频率的演变,多久玩一次,1,['初高中后因为玩游戏时间越来越少就很少玩了']
频率动态变化,玩家描述其游戏频率在不同时期（如小学、初中）有明显的变化。,游戏频率的演变,多久玩一次,1,['小学能碰手机就玩，初中最多每周玩好几次，最少半年不玩']
情绪驱动型频率,游戏频率不固定，主要受玩家“是否想玩”的主观情绪或想法驱动。,游戏频率的驱动与调节因素,多久玩一次,2,"['我偶尔想玩的时候打开玩一会', '想起来就玩']"
项目驱动型频率,游戏频率受游戏内特定项目（如建造）的影响，项目进行时频率增高。,游戏频率的驱动与调节因素,多久玩一次,1,['正在建一个房子的时候会天天开']
社交驱动型频率,游戏行为由社交邀请（如朋友邀请）触发。,游戏频率的驱动与调节因素,多久玩一次,1,['除非是朋友邀请我们才会玩']
学业时间调节,游戏频率根据学业安排进行调整，如区分工作日与周末、上学与假期。,游戏频率的驱动与调节因素,多久玩一次,2,"['上学期间每天玩半小时，周末能玩久一点', '周中写完作业玩半小时，周末多玩会儿']"
假期高强度游玩,在假期期间，游戏频率和时长会显著高于平时。,游戏频率的驱动与调节因素,多久玩一次,1,['有次暑假跟我弟联机，从早到晚玩']
受约束的游玩,游戏行为受到外部（主要是家长）的限制和管理，有时导致秘密进行。,游戏频率的驱动与调节因素,多久玩一次,2,"['我妈说再玩就没收平板，然后我们就偷偷玩到凌晨，结果被抓包了', '家长管得严，所以得偷偷玩，比如把手机藏在被子里玩']"
仪式化/任务驱动,将游戏内的某些活动（如收菜）视为每日必须完成的例行任务，带有“打卡”性质。,游玩投入状态,多久玩一次,1,['每天都要上去收个农作物、喂喂牲畜，跟打卡上班似的']
