q＿num,Outlines,Questions
1,玩家特征,性别/年龄
2,玩家特征,金铲铲的消戏时长(玩多久了、玩频率(每天)、每次玩几局)
3,玩家特征,你玩过MOBA类游戏吗(如LOL、王者荣耀)?
4,玩家特征,金铲铲的游戏等级
5,玩家体验感受,你玩金铲铲的目的是什么(打不出来可提醒，休闲、胜利、开黑等)
6,玩家体验感受,你在玩金铲铲时，什么时候是最快乐的?
7,玩家体验感受,你觉得金铲铲游戏中的氛围如何?(如果回答内容较少，可以提醒友好、恶劣、孤立、活跃、冷淡等）
8,玩家体验感受,(如果玩过moba)你觉得相比较moba类游戏，金铲铲的相互冲突或攻击的情况更多/更少?
9,玩家社交感受,能说一下你在金铲铲中与其他玩家互动时遇到过特别糟心的情况吗?
10,玩家社交感受,能说一下你在金铲铲里遇到过特别暖心的情况吗?
11,玩家社交感受,为什么那个时候让你感觉暖心/糟心?你当时是什么感受?
12,玩家社交感受,你有经历过对手对你的不礼貌行为吗?能具体说有哪些行为吗?为什么你觉得不礼貌?
13,玩家社交感受,你和队友互动时，在什么情况下会感觉被冒犯或让你不舒服，他/她如何让你不舒服的?
14,玩家不友好行为,在金铲铲，你在哪些情况下会有“绷不住”想攻击他人的意图?为什么这些情况会刺激你?
15,玩家不友好行为,在金铲铲你会在意别人对你的看法吗?为什么在意/不在意?
16,玩家不友好行为,遇到他人让你不爽的情况，你会如何处理?为什么选择这种处理方式?
17,玩家不友好行为,你是否曾经因游戏氛围影响了你继续游戏的意愿?
