一级维度 (Level 1 Dimension),二级编码 (Level 2 Code),频次 (Frequency),定义 (Definition),应用规则 (Application Rules)
社交维度,建立联系,13,将游戏作为发起、维系或加深人际关系（特别是与熟人）的工具或场域，核心在于满足归属感和联结需求。,纳入: 明确提及为了与“朋友”、“室友”等特定对象一起玩或交流而游戏。核心是“和谁一起玩”。&lt;br>排除: 描述和朋友一起玩时的快乐感受（归入社交愉悦）；对游戏整体社区氛围的评价。
,社交愉悦,9,在游戏过程中，通过与他人的实时互动（如合作、竞争、调侃）所体验到的快乐、兴奋、满足等积极情绪。,纳入: 描述与他人共同游戏时，因过程本身而产生的快乐情绪。如“尖叫”、“欢呼”、“互怼”、“调侃”等。&lt;br>排除: 初始的社交动机（归入建立联系）；通过分享或展示获得满足（归入交流分享）。
,交流分享,5,玩家主动将自己的游戏成就、独特玩法、身份地位或心情，通过语言、截图、行为等方式向他人进行展示、沟通并获得反馈的行为。,纳入: 包含“分享截图”、“显摆皮肤”、“公屏互动”、“赛后加好友”、“获得点赞/666”等明确的沟通和展示行为。&lt;br>排除: 不涉及具体信息交流的共同游戏体验（归入社交愉悦）。
,氛围评价高,27,感知到游戏社区宏观环境是积极的。具体表现为玩家互动友好、互相帮助、包容活跃、或因玩家群体整体素质较高而形成的低冲突环境。,纳入: 对游戏环境的正面评价。含“友好”、“和谐”、“活跃”、“没人骂”、“玩家素质高”等。可特别关注提及低段位环境更友好的引文。&lt;br>排除: 特指与某位朋友的互动。只纳入对整体或陌生人环境的感知。
,氛围评价低,13,感知到游戏社区宏观环境是消极的。具体表现为两类：一是存在言语攻击、恶意干扰等直接的负面行为；二是玩家间互动稀少，氛围冷淡，如同单机，缺乏社区联系。,纳入: 包含两类负面感知：1.明确提及“喷子”、“骂人”、“戾气重”、“恶意行为”等。2.明确提及“冷淡”、“不说话”、“单机”等。可特别关注提及高段位环境更恶劣的引文。&lt;br>排除: 正面的社区氛围评价。
成就维度,掌握趋近,6,旨在提升个人对游戏策略的理解、发展新玩法或成功执行复杂战术时所获得的成就感。核心是自我参照，即对任务的精通。,纳入: 重点在于“探索”、“开发”、“验证”、“理解”、“成功执行个人计划”。&lt;br>排除: 以“战胜对手”、“获得排名”或“得到他人认可”为主要快乐来源。
,成绩趋近,19,旨在公开展示个人能力、在与他人的竞争中胜出或获得稀有、高价值成果时所获得的成就感。核心是他人参照，即在社会比较中证明优越性。,纳入: 重点在于“赢”、“逆袭”、“翻盘”、“carry全场”、“达成公认强大的组合（如三星五费）”、“获得他人认可”。&lt;br>排除: 乐趣主要来源于个人探索和理解过程。
休闲娱乐维度,休闲解压,12,将游戏作为一种功能性工具，旨在调节和改善个人的负面或平淡状态，如对抗工作/学习压力、释放情绪、或填充无聊时间。,纳入: 明确表达游戏的目的性。关键词包括“解压”、“减压”、“放松心情”、“消磨时间”。&lt;br>排除: 单纯描述游戏“好玩”（归入内在愉悦）或“轻松”（归入愉悦特征）。
,内在愉悦,4,在游戏过程中，从游戏本身的内在属性（如操作感、视听效果、玩法趣味性等）中直接获取的、非功利性的快乐和享受。,纳入: 描述主动的、正向的情感体验。关键词包括“享受...过程”、“觉得好玩”、“视觉放松”。&lt;br>排除: 为达成特定成就的快乐；为“解压”而玩的功利性目的。
,愉悦特征,22,玩家感知到的、构成游戏“轻松好玩”这一整体印象的具体设计特点或环境氛围。它解释了为什么这款游戏能带来休闲体验。,纳入: 描述游戏的客观属性。如低社交负荷（“没人骂”）和低操作/竞技负荷（“不用记连招”）。&lt;br>排除: 玩家的主观情绪感受（归入前两个编码）。
