code_name,definition,theme,source_question,frequency_in_question,representative_quotes
休闲放松,以放松心情为主要目的,游戏动机,你玩金铲铲的目的是什么(打不出来可提醒，休闲、胜利、开黑等),15,"['工作后解压', '比较轻松休闲', '主要作为减压工具', '为工作减压', '纯粹放松心情', '缓解学习，月考压力', '主要是为了休闲放松', '觉得好玩休闲', '消磨时间的', '放松', '放松', '主要是休闲放松', '非常休闲', '特别解压', '休闲娱乐为主']"
社交互动,以社交为主要目的,游戏动机,你玩金铲铲的目的是什么(打不出来可提醒，休闲、胜利、开黑等),14,"['为的是是和朋友语音聊天', '主要为了和朋友一起开黑', '每晚和闺蜜组队语音游玩', '主要服务于宿舍社交', '和暗恋女生组队时显摆新皮肤', '偶尔也会和朋友开黑', '开黑陪朋友玩', '主要为了和朋友开黑', '开黑', '偶尔和朋友开黑', '和室友一起开黑打', '和室友开黑', '社交平台', '与朋友一起玩']"
竞技挑战,以竞技或挑战为主要目的,游戏体验,你玩金铲铲的目的是什么(打不出来可提醒，休闲、胜利、开黑等),3,"['进行个人竞技挑战', '验证自研阵容强度', '分享吃鸡截图']"
游戏乐趣,享受游戏本身的乐趣,游戏体验,你玩金铲铲的目的是什么(打不出来可提醒，休闲、胜利、开黑等),7,"['纯粹享受操作角色的过程', '享受华丽技能特效的视觉放松感', '享受对手公屏打问号的迷惑反应', '享受凑齐三星英雄的成就感', '享受游戏乐趣', '游戏做得不错是真心挺好玩的', '享受策略搭配的乐趣']"
成就满足,达成游戏高难度目标时的成就感,核心游戏体验,你在玩金铲铲时，什么时候是最快乐的?,15,"['用冷门英雄意外carry全场时', '当自己追到三星五费', '和闺蜜同一局内双双合成三星五费卡', '用冷门""赌约德尔""阵容逆袭主流套路时', '用三星五费卡极限翻盘时', '用全一费卡阵容逆袭主流九五体系时', '用冷门阵容意外吃鸡时', '精心运营的阵容成型，一路连胜最终吃鸡', '前四名可以拿到分的时候', '玩经济型羁绊成型的时候最快乐', '和朋友凑成三星五费卡', '凑出三星橙卡', 'D到自己想要的阵容关键卡', '合成出三星五费很爽', '用冷门阵容逆袭']"
社交互动_1,与朋友共同游戏的快乐,社交体验,你在玩金铲铲时，什么时候是最快乐的?,10,"['队友在公屏刷""666""或发点赞表情', '两人在语音里尖叫了半分钟', '全宿舍爆发出集体欢呼', '朋友在语音里大喊这都能赢', '和朋友一起开黑，互相调侃、交流阵容思路', '逆风翻盘', '和朋友互怼时', '和室友一起开黑', '和室友一起开黑', '和朋友在宿舍一起玩']"
策略创新,尝试新玩法的乐趣,核心游戏体验,你在玩金铲铲时，什么时候是最快乐的?,7,"['用冷门""赌约德尔""阵容逆袭主流套路', '对手赛后加好友追问套路细节', '玩新研究的套路', '九皮尔特沃夫，十心之钢，十福星这些高风险高回报的羁绊', '用冷门阵容逆袭吃鸡', '合成三星五费卡', '开发出新套路的时候']"
视觉享受,游戏特效带来的愉悦,感官体验,你在玩金铲铲时，什么时候是最快乐的?,2,"['用限定皮肤carry全场', '凑齐了大羁绊，比如十福星、十心之刚']"
友好氛围,玩家互动友好，支持性强,积极的玩家互动,你觉得金铲铲游戏中的氛围如何?(如果回答内容较少，可以提醒友好、恶劣、孤立、活跃、冷淡等）,10,"['低分段环境较友好，开局常见“加油”表情互动，喷子较少见', '游戏氛围活跃，玩家都很和谐', '女性玩家社群特别友好，有专属微信群分享阵容攻略，遇到困难时总有人耐心解答', '低分段氛围友好，遇到喷子直接屏蔽，多数人开局发一起加油表情', '整体氛围还可以，大部分玩家都比较友好', '里面的人有啥就说啥但是态度都还可以氛围一直都是这样的', '但和朋友一起玩很热闹，也没遇到过太恶劣的', '氛围挺好的，人机也很少8个人都是玩家，然后也会在局内聊天，有时候氛围很好，或者最后卡牌求一下也都会卖牌成人之美', '整体氛围挺好的，8个人都是真人玩家，局内聊天也很活跃。有时候最后关头求别人让卡，大家都会成人之美', '整体来说还是比较友好']"
活跃互动,玩家互动频繁，氛围活跃,积极的玩家互动,你觉得金铲铲游戏中的氛围如何?(如果回答内容较少，可以提醒友好、恶劣、孤立、活跃、冷淡等）,5,"['游戏氛围活跃', '学生玩家社群整体活跃友好', '也会在局内聊天，有时候氛围很好', '局内聊天也很活跃', '宗师局经常能看到玩家互相卡牌，公屏嘲讽']"
消极行为,玩家表现出消极或恶意行为,消极的玩家行为,你觉得金铲铲游戏中的氛围如何?(如果回答内容较少，可以提醒友好、恶劣、孤立、活跃、冷淡等）,7,"['凌晨常遇外放抖音或刷屏的干扰者，影响沉浸式体验', '深夜易遇开麦骂人玩家，通常直接屏蔽语音保清净', '高分段戾气较重，冷门阵容获胜易被举报开挂', '遇到喷子就装掉线', '偶尔会遇到嘲讽或挂机，有点烦', '偶尔会有恶意空城断其他人的连败', '偶尔会遇到恶意空城断连败的玩家，有点影响体验']"
冷淡氛围,玩家互动少，氛围冷淡,消极的玩家行为,你觉得金铲铲游戏中的氛围如何?(如果回答内容较少，可以提醒友好、恶劣、孤立、活跃、冷淡等）,4,"['比较冷淡 每个人好像都是只顾着自己的棋盘', '基本上是遇到不说话的', '没啥人说话', '比较单机，交流少']"
段位差异,不同段位玩家氛围差异明显,段位对氛围的影响,你觉得金铲铲游戏中的氛围如何?(如果回答内容较少，可以提醒友好、恶劣、孤立、活跃、冷淡等）,3,"['低分段环境较友好', '高分段戾气较重...低分段反而更包容创意玩法', '段位越高火药味越浓']"
压力减轻,游戏压力显著降低,游戏体验优化,(如果玩过moba)你觉得相比较moba类游戏，金铲铲的相互冲突或攻击的情况更多/更少?,8,"['压力小太多', '整体环境更好', '社交压力下降', '压力小太多', '不用记连招', '相互冲突或攻击的情况更少', '竞技性可能会比 moba 游戏要低', '矛盾更少']"
策略导向,游戏更注重策略思考,游戏机制特点,(如果玩过moba)你觉得相比较moba类游戏，金铲铲的相互冲突或攻击的情况更多/更少?,4,"['更看重阵容理解而非操作手速', '更注重大局观和资源计算', '策略深度堪比解谜游戏', '金铲铲偏策略']"
